,CBSA,Latitude,Longitude
2650,12700,41.702265000000004,-69.96958000000001
2651,12700,41.824264,-69.98176
2652,12700,42.028890000000004,-70.07938
2653,12700,41.777646999999995,-69.97312
2655,12700,41.632934999999996,-70.38693
2657,12700,42.053354999999996,-70.18947
2659,12700,41.678628,-70.02495
2660,12700,41.712338,-70.16165
2661,12700,41.675799,-70.0396
2662,12700,41.756694,-69.984123
2663,12700,41.800531,-70.076776
2664,12700,41.670981,-70.19797
2666,12700,41.992804,-70.05426999999999
2667,12700,41.922412,-70.01484
2668,12700,41.706309999999995,-70.37048
2669,12700,41.673635,-69.99494
2670,12700,41.659749,-70.17089
2671,12700,41.665589000000004,-70.11152
2672,12700,41.636077,-70.31962
2673,12700,41.656883,-70.23725999999999
2675,12700,41.703205,-70.22395
2702,39300,41.792192,-71.06446
2702,14484,41.792192,-71.06446
2703,39300,41.928098999999996,-71.31456
2712,39300,41.756214,-71.06706199999999
2713,99999,41.429673,-70.8954
2715,39300,41.811514,-71.13633
2717,39300,41.765934,-70.95331999999999
2717,14484,41.765934,-70.95331999999999
2718,39300,41.876249,-71.01827
2719,39300,41.634152,-70.8814
2720,39300,41.716952,-71.13986
2721,39300,41.685452000000005,-71.15425
2723,39300,41.691369,-71.13234
2724,39300,41.684152000000005,-71.17436
2725,39300,41.721652,-71.17482
2726,39300,41.754828,-71.14894
2738,14484,41.706599,-70.75086
2739,14484,41.654776,-70.80086999999999
2740,39300,41.634754,-70.93751999999999
2742,39300,41.619557,-70.956346
2743,39300,41.697015,-70.91019
2744,39300,41.610754,-70.91453
2745,39300,41.692806,-70.93264
2746,39300,41.659335999999996,-70.93347
2747,39300,41.637916,-70.99076
2748,39300,41.59156,-70.9494
2760,39300,41.975495,-71.33086
2760,14484,41.975495,-71.33086
2762,14484,42.011848,-71.32392
2763,39300,41.967949,-71.31024000000001
2764,39300,41.851557,-71.15125
2766,39300,41.969184999999996,-71.1854
2767,14484,41.934585999999996,-71.04905
2767,39300,41.934585999999996,-71.04905
2769,39300,41.835066999999995,-71.26115
2770,39300,41.760783,-70.83848
2770,14484,41.760783,-70.83848
2771,39300,41.84345,-71.32343
2777,39300,41.741551,-71.21433
2779,39300,41.825252,-71.07799
2780,39300,41.904888,-71.10288
2780,14484,41.904888,-71.10288
2783,14484,41.756214,-71.06706199999999
2790,39300,41.602517,-71.08904
2791,39300,41.519104,-71.085137
2801,39300,41.530131,-71.28406600000001
2802,39300,41.954097999999995,-71.462053
2804,39300,41.430068,-71.78101
2806,39300,41.746834,-71.32030999999999
2807,39300,41.171389000000005,-71.58358
2808,39300,41.402009,-71.74785
2809,39300,41.6842,-71.26866
2812,39300,41.466029999999996,-71.66408
2813,39300,41.385256,-71.66813
2814,39300,41.896002,-71.70335
2815,39300,41.777861,-71.67009
2816,39300,41.69105,-71.57462
2817,39300,41.625873999999996,-71.67023
2818,39300,41.649733000000005,-71.46815
2822,39300,41.563937,-71.60547
